Catégorie,Question,Réponse,Mots-clés
Civic Tech,"Qu'est-ce que la Civic Tech selon CitizenLab ?","La Civic Tech désigne les technologies et démarches qui favorisent et renforcent le rôle joué par les citoyens dans la consolidation des débats publics. Elles sont utilisées par les jeunes pour s'engager politiquement et participer à la vie de leur pays.","Civic Tech, technologie, débats publics"
Civic Tech,"Comment la Civic Tech aide la participation ?","La Civic Tech permet aux citoyens d'avoir une voix, facilite les échanges d'informations en temps réel, organise les mobilisations, et permet une participation active dans les processus électoraux et les débats publics à Madagascar.","Civic Tech, participation, mobilisation"
Valeurs,"Quelles sont les valeurs de CitizenLab Madagascar ?","Les valeurs fondamentales sont: la participation citoyenne, la démocratie participative, la gouvernance ouverte, l'accès à l'information, la transparence, l'engagement civique, l'innovation, l'intelligence collective, l'inclusion.","valeurs, démocratie, transparence, innovation, inclusion"
Droits,"Quels droits CitizenLab défend ?","CitizenLab défend: les droits et libertés fondamentaux (vie, liberté de pensée, d'expression, de religion), l'égalité devant la loi, la participation politique (vote, candidature, pétition, manifestation), les droits humains, l'inclusion.","droits, libertés, égalité, participation politique"
Citoyenneté,"C'est quoi la citoyenneté selon CitizenLab ?","La citoyenneté comprend: les droits et libertés, la participation politique, l'engagement civique, l'éducation citoyenne, la responsabilité citoyenne, le respect de la diversité, le dialogue et la délibération, la responsabilisation des dirigeants, la participation économique.","citoyenneté, droits, participation, responsabilité"
Engagement,"Qu'est-ce que l'engagement citoyen ?","L'engagement civique inclut les actions pour améliorer la communauté: bénévolat, service communautaire, participation aux groupes de quartier, prise de responsabilité pour améliorer la qualité de vie dans son environnement.","engagement, bénévolat, communauté, actions"
Éducation,"Pourquoi l'éducation citoyenne est importante ?","L'éducation civique est essentielle car elle donne aux citoyens les connaissances, les compétences et les valeurs nécessaires pour participer efficacement à la vie politique et civique.","éducation citoyenne, formation, compétences"
Responsabilité,"Quelles responsabilités ont les citoyens ?","Les citoyens ont des responsabilités: respecter les lois, voter, payer des impôts, respecter les droits des autres, être tolérants, protéger l'environnement, participer à la vie communautaire.","responsabilités, devoirs, citoyens"
Diversité,"Comment CitizenLab aborde la diversité ?","CitizenLab promeut le respect des différences culturelles, religieuses et ethniques, ainsi que l'inclusion et l'égalité. La diversité est reconnue comme une richesse de la société malgache.","diversité, inclusion, égalité, respect"
Dialogue,"Pourquoi le dialogue est important ?","Le dialogue et la délibération sont essentiels car ils permettent aux citoyens de discuter de questions importantes, partager des opinions et trouver des solutions ensemble de manière constructive.","dialogue, délibération, discussion, solutions"
Gouvernance,"Qu'est-ce que la responsabilisation ?","La responsabilisation implique que les gouvernements et dirigeants soient responsables de leurs actions, rendent des comptes à la population et respectent les droits des citoyens.","responsabilisation, redevabilité, gouvernants"
Économie,"C'est quoi la participation économique ?","La participation à la vie économique implique la participation à l'économie, la compréhension de son fonctionnement et de ses impacts, ainsi que la promotion de l'équité économique.","économie, participation économique, équité"
Impact,"Quel est l'impact de CitizenLab Madagascar ?","L'impact inclut: 150+ jeunes outillés, 50 offres de formations, 130+ contenus de valeur produits, plus de 10 millions de nouvelles consciences citoyennes touchées, création de programmes innovants (JADEN, FARIBOLANA).","impact, 150 jeunes, 50 formations, 130 contenus, 10M"
Impact,"Combien de personnes touchées ?","CitizenLab Madagascar vise à toucher plus de 10 millions de nouvelles consciences citoyennes à travers ses contenus, formations et campagnes de sensibilisation.","10 millions, portée, audience"
Financement,"Qui finance CitizenLab Madagascar ?","Le projet est financé par EU International Partnerships (Union Européenne) et soutenu par la Youth Democracy Cohort (YDC).","financement, EU, Union Européenne, YDC"
Partenaires,"Qui sont les partenaires ?","Les partenaires principaux sont: AfricTivistes (porteur du projet), Isika (partenaire local malgache), EU International Partnerships (financement), Youth Democracy Cohort (soutien), CliMates Madagascar, CBM Global Disability Inclusion.","partenaires, AfricTivistes, Isika, EU, YDC, CliMates, CBM"
Partenaires,"Qu'est-ce que la Youth Democracy Cohort ?","La Youth Democracy Cohort (YDC) est un partenariat qui soutient AfricTivistes pour disséminer, plaider et monitorer le Menu des Engagements Possibles pour renforcer les valeurs démocratiques auprès des jeunes.","YDC, Youth Democracy Cohort, soutien"
Menu Engagements,"C'est quoi le Menu des Engagements ?","Le Menu des Engagements Possibles est un instrument continental pour consolider la démocratie. CitizenLab forme les jeunes sur son contenu et mène des campagnes de plaidoyer pour son adoption et sa domestication à Madagascar.","Menu Engagements, instrument, plaidoyer"
CADEG,"Qu'est-ce que la CADEG ?","La CADEG (Charte Africaine de la Démocratie, des Élections et de la Gouvernance) est un instrument continental que CitizenLab promeut à travers des campagnes de plaidoyer pour renforcer les institutions publiques malgaches.","CADEG, charte africaine, démocratie"
Contenus,"Où trouver les contenus de CitizenLab ?","Les contenus sont disponibles sur le site web citizenlabmadagascar.org dans les sections: Blog, Actualités, Podcasts, Vidéos, Formations, Campagnes.","contenus, site web, blog, podcasts"
Blog,"Qu'est-ce que la section Blog ?","La section Blog contient des articles d'analyse, de réflexion et d'opinion sur les enjeux de démocratie, participation citoyenne, Génération Z, climat et gouvernance à Madagascar.","blog, articles, analyses"
Podcasts,"CitizenLab produit des podcasts ?","Oui, CitizenLab produit des podcasts pour sensibiliser sur la participation citoyenne, la démocratie et les enjeux malgaches.","podcasts, production, médias"
Vidéos,"Quels types de vidéos CitizenLab produit ?","CitizenLab produit des vidéos de sensibilisation, des reportages, des capsules éducatives et du contenu visuel pour engager les jeunes malgaches.","vidéos, production, sensibilisation"
Campagnes,"Quelles campagnes CitizenLab mène ?","CitizenLab déploie des campagnes de sensibilisation en ligne pour promouvoir la participation citoyenne, le plaidoyer auprès du gouvernement, et des campagnes thématiques (climat, inclusion, droits, démocratie).","campagnes, sensibilisation, plaidoyer"
Réseau,"Quel réseau CitizenLab veut créer ?","CitizenLab vise à créer un réseau d'acteurs engagés dans la défense de la démocratie participative, composé de jeunes, de membres de la société civile, de professionnels des médias et d'innovateurs malgaches.","réseau, acteurs engagés, communauté"
Intelligence Collective,"Qu'est-ce que l'intelligence collective pour CitizenLab ?","CitizenLab se fonde sur l'intelligence collective pour créer une communauté de jeunes qui partagent des idéologies et valeurs profondes pour construire un Madagascar où la démocratie participative et la gouvernance ouverte sont des réalités.","intelligence collective, communauté, valeurs"
Outils,"Quels outils CitizenLab développe ?","CitizenLab développe des outils innovants pour la participation citoyenne: plateforme web, contenus multimédias, supports de formation, campagnes digitales, programmes spécialisés (JADEN).","outils, innovation, développement, JADEN"
Vision Madagascar,"Quelle vision pour Madagascar ?","La vision de CitizenLab est un Madagascar où la démocratie participative et la gouvernance ouverte sont des réalités, avec des citoyens informés, engagés et participant activement aux décisions publiques.","vision, Madagascar, démocratie, gouvernance"
Démocratie,"Qu'est-ce que la démocratie participative ?","Pour CitizenLab, la démocratie participative implique que les citoyens ne se contentent pas de voter, mais participent activement à l'élaboration des politiques publiques, aux débats, et aux décisions qui affectent leur vie.","démocratie participative, participation, politiques"
État de Droit,"Pourquoi l'État de droit est important ?","L'État de droit est fondamental car il garantit que tous (citoyens et dirigeants) sont soumis aux mêmes lois, protège les droits et libertés, et assure la justice et l'égalité pour tous à Madagascar.","État de droit, lois, justice, égalité"
Institutions,"Quel rôle pour les institutions ?","CitizenLab plaide pour des institutions publiques fortes, transparentes et redevables qui respectent les droits des citoyens et permettent leur participation effective aux processus démocratiques à Madagascar.","institutions, transparence, redevabilité"
Consolidation,"Comment consolider la démocratie ?","La consolidation passe par: l'éducation citoyenne, la participation active, le plaidoyer pour de bonnes lois (CADEG, Menu Engagements), la responsabilisation des dirigeants, l'utilisation des technologies civiques, la formation de leaders (JADEN).","consolidation, démocratie, éducation, plaidoyer, JADEN"
Afrique,"CitizenLab a une dimension africaine ?","Oui, CitizenLab s'inscrit dans le réseau panafricain AfricTivistes et promeut des instruments continentaux (CADEG, Charte africaine de la jeunesse) tout en abordant les enjeux spécifiques à Madagascar.","Afrique, panafricain, continental, réseau"
Plateforme Collaborative,"Qu'est-ce que la plateforme collaborative ?","Le CitizenLab Madagascar est un espace innovant et une plateforme collaborative pour encourager le dialogue entre les citoyens, favoriser la co-création et créer un réseau d'acteurs de changement.","plateforme collaborative, dialogue, co-création, innovation"
Laboratoire Citoyen,"Qu'est-ce qu'un laboratoire citoyen ?","Le CitizenLab est un laboratoire citoyen, c'est-à-dire un espace d'innovation, d'expérimentation et de co-création où les citoyens, les jeunes et les acteurs de la société civile peuvent développer des solutions aux défis démocratiques.","laboratoire citoyen, innovation, expérimentation, co-création"
Jeunesse,"Pourquoi cibler les jeunes ?","Les jeunes sont au cœur du projet car ils représentent l'avenir de la démocratie malgache. La Génération Z, par son courage, sa créativité et sa détermination, est le moteur du sursaut citoyen à Madagascar.","jeunesse, jeunes, avenir, Génération Z"
Leaders Citoyens,"Qu'est-ce qu'un leader citoyen ?","Un leader citoyen est un jeune formé par des programmes comme JADEN pour être engagé dans la démocratie, la participation citoyenne et la civic-tech, capable d'impulser le changement dans sa communauté.","leader citoyen, JADEN, formation, engagement"
Levier,"CitizenLab est un levier de quoi ?","CitizenLab constitue un levier pour accélérer l'engagement citoyen en faveur de la démocratie participative à Madagascar. C'est un programme qui amplifie l'action citoyenne.","levier, accélération, engagement, programme"
Conscience Citoyenne,"Comment créer une conscience citoyenne ?","CitizenLab crée la conscience citoyenne via: production de contenus de valeur, formations, campagnes de sensibilisation, débats publics, témoignages, analyses des enjeux démocratiques, programmes comme JADEN.","conscience citoyenne, sensibilisation, contenus, JADEN"
Information,"Pourquoi l'accès à l'information est crucial ?","L'accès à l'information est crucial car il permet aux citoyens de: prendre des décisions éclairées, participer aux débats publics, contrôler l'action des gouvernants, exercer leurs droits démocratiques de manière effective.","information, accès, participation, droits"
Production,"Pourquoi produire des contenus ?","Produire des contenus permet de: informer les citoyens de manière vérifiée, éduquer à la participation, sensibiliser aux enjeux démocratiques, créer des références fiables, enrichir le débat public à Madagascar.","production, contenus, information, éducation"
Plaidoyer,"Comment faire du plaidoyer ?","CitizenLab fait du plaidoyer en: produisant des analyses, menant des campagnes en ligne, dialoguant avec les autorités, mobilisant les citoyens, promouvant l'adoption d'instruments démocratiques (CADEG, Menu Engagements).","plaidoyer, campagnes, mobilisation, dialogue"
Bien Gouverné,"Qu'est-ce qu'un pays bien gouverné ?","Un pays bien gouverné est un pays où: les institutions sont fortes et transparentes, les dirigeants rendent compte, les droits sont respectés, les citoyens participent aux décisions, l'État de droit prévaut.","bonne gouvernance, transparence, participation, droits"
Changement,"Comment créer le changement ?","Le changement est créé par: l'engagement citoyen actif, l'utilisation des technologies civiques, la formation de leaders (JADEN), le renforcement des capacités, la mobilisation collective, le plaidoyer, l'innovation sociale.","changement, engagement, mobilisation, innovation, JADEN"
Sursaut Citoyen,"Qu'est-ce que le sursaut citoyen ?","Le sursaut citoyen est un éveil, une mobilisation de la conscience citoyenne pour agir et transformer la société. Selon CitizenLab, la Génération Z malgache est le moteur de ce sursaut citoyen par son courage et sa détermination.","sursaut citoyen, éveil, mobilisation, Génération Z"
Avenir Démocratie,"Quel avenir pour la démocratie malgache ?","Selon CitizenLab, aucune démocratie ne peut être durable si elle exclut ceux qui représentent l'avenir, c'est-à-dire les jeunes et la Génération Z. L'avenir de la démocratie malgache passe par l'engagement actif de sa jeunesse.","avenir, démocratie, jeunes, durable, inclusion"
