Catégorie,Question,Réponse,Mots-clés
Objectifs,"Quels sont les objectifs de CitizenLab Guinée ?","Les objectifs sont: 1) Renforcer l'accès à l'information et la participation citoyenne, 2) Produire des contenus de valeur, 3) Outiller les jeunes par la formation, 4) Créer un réseau d'acteurs engagés, 5) Mener des campagnes de plaidoyer, 6) Faciliter l'accès à l'innovation numérique pour tous.","objectifs, formation, plaidoyer, innovation"
Objectifs,"Que vise CitizenLab en termes de participation ?","CitizenLab œuvre pour plus d'implication citoyenne dans les organes de prise de décision publiques et dans l'élaboration des politiques publiques en conformité avec la charte africaine de la jeunesse et d'autres textes régionaux et continentaux.","participation, organes publics, politiques publiques"
Innovation Numérique,"Pourquoi l'innovation numérique pour tous ?","En Guinée, le numérique est une opportunité majeure, mais de nombreux jeunes restent exclus faute de formation, d'accès aux données et de soutien à l'innovation. CitizenLab répond à ces défis en facilitant l'accès à l'innovation numérique pour tous.","innovation numérique, inclusion, accès, formation"
Innovation Numérique,"Quels défis CitizenLab adresse ?","CitizenLab adresse: le manque de formation numérique, l'accès limité aux données et à Internet, l'absence de soutien à l'innovation pour les jeunes, l'exclusion numérique des régions, le déficit de participation citoyenne.","défis, formation, accès, exclusion"
Contact,"Comment contacter CitizenLab Guinée ?","Email: citizenlabguinee@africtivistes.org, Téléphone: +224 623 456 789, Localisation: Conakry et Labé, Guinée","contact, email, téléphone, Conakry"
Contact,"Quel est le site web de CitizenLab Guinée ?","Le site web est https://citizenlabguinee.org/","site web, url, lien"
Équipe,"Qui sont les membres de CitizenLab Guinée ?","L'équipe comprend des jeunes guinéens engagés dont Kadiatou Diallo, membre du CitizenLab Guinée qui a pris la parole lors du lancement. L'équipe est composée de militants, journalistes et blogueurs formés.","équipe, Kadiatou Diallo, membres, jeunes"
Équipe,"Quel profil pour rejoindre l'équipe ?","L'équipe est composée de militants, journalistes, blogueurs, acteurs de la société civile et professionnels des médias engagés pour la démocratie participative en Guinée.","profil, militants, journalistes, blogueurs"
Formations,"Quelles formations CitizenLab Guinée propose ?","CitizenLab Guinée propose des formations sur: l'engagement civique et la participation citoyenne, le plaidoyer en ligne, les techniques de rédaction et production de contenus, le fact-checking, l'innovation numérique, la démocratie et la gouvernance, le Menu des Engagements Possibles.","formations, engagement civique, numérique, plaidoyer"
Formations,"Combien de jeunes ont été formés ?","Plus de 150 jeunes ont été outillés par CitizenLab Guinée à travers diverses sessions de formation et ateliers.","150 jeunes, formations, outillage"
Formations,"Quelle formation initiale ?","Du 08 au 12 septembre 2025, les membres ont reçu une formation sur les dynamiques de participation citoyenne, la stratégie de plaidoyer digital et l'identification des engagements du Menu de la Cohorte Jeunesse.","formation initiale, septembre 2025, membres"
Formations,"Combien d'offres de formations disponibles ?","CitizenLab Guinée a lancé plus de 50 offres de formations pour renforcer les capacités des jeunes en matière de participation citoyenne et d'innovation numérique.","50 formations, offres"
Activités,"Quelles sont les activités de CitizenLab Guinée ?","Les activités incluent: production de contenus (articles, podcasts, vidéos), formations et ateliers, campagnes de sensibilisation en ligne, plaidoyer auprès du gouvernement, mobilisation citoyenne, facilitation de l'accès à l'innovation numérique.","activités, contenus, formations, campagnes"
Activités,"CitizenLab produit quels types de contenus ?","CitizenLab produit: articles de blog et analyses, podcasts, vidéos, contenus de sensibilisation sur les réseaux sociaux, rapports sur la démocratie et la participation citoyenne en Guinée.","contenus, blog, podcasts, vidéos"
Actualités,"Quelles sont les dernières actualités ?","Les actualités récentes (novembre 2025) incluent: lancement officiel à Labé le 25 novembre, article sur l'accès à l'innovation numérique pour tous, début des activités à Labé.","actualités, novembre 2025, lancement, Labé"
Lancement,"Comment s'est passé le lancement à Labé ?","Le lancement a eu lieu le mardi 25 novembre 2025 dans les locaux de Villageois 2.0 à Labé, avec la participation de responsables universitaires, étudiants, élèves et représentants de la société civile. Kadiatou Diallo a pris la parole pour présenter le projet.","lancement, Labé, 25 novembre, Villageois 2.0"
Villageois 2.0,"Qu'est-ce que Villageois 2.0 ?","Villageois 2.0 est une association locale basée à Labé qui héberge les locaux de CitizenLab Guinée. C'est un partenaire dans la promotion de l'innovation numérique en région.","Villageois 2.0, association, partenaire, Labé"
Thématiques,"Quelles thématiques CitizenLab Guinée aborde ?","Les thématiques incluent: démocratie participative, droits humains, gouvernance ouverte, participation citoyenne des jeunes, innovation numérique, inclusion numérique, accès aux données, formation digitale.","thématiques, démocratie, innovation, inclusion"
Civic Tech,"Qu'est-ce que la Civic Tech selon CitizenLab ?","La Civic Tech désigne les technologies et démarches qui favorisent et renforcent le rôle joué par les citoyens dans la consolidation des débats publics. Elles sont utilisées par les jeunes pour s'engager politiquement et participer à la vie de leur pays.","Civic Tech, technologie, débats publics"
Civic Tech,"Comment la Civic Tech aide la participation ?","La Civic Tech permet aux citoyens d'avoir une voix, facilite les échanges d'informations en temps réel, organise les mobilisations, et permet une participation active dans les processus électoraux et les débats publics en Guinée.","Civic Tech, participation, mobilisation"
Valeurs,"Quelles sont les valeurs de CitizenLab Guinée ?","Les valeurs fondamentales sont: la participation citoyenne, la démocratie participative, la gouvernance ouverte, l'accès à l'information, l'inclusion numérique, la transparence, l'engagement civique, l'innovation, l'intelligence collective.","valeurs, démocratie, transparence, innovation"
Droits,"Quels droits CitizenLab défend ?","CitizenLab défend: les droits et libertés fondamentaux (vie, liberté de pensée, d'expression, de religion), l'égalité devant la loi, la participation politique (vote, candidature, pétition, manifestation), les droits humains, le droit à l'accès numérique.","droits, libertés, égalité, participation politique"
Citoyenneté,"C'est quoi la citoyenneté selon CitizenLab ?","La citoyenneté comprend: les droits et libertés, la participation politique, l'engagement civique, l'éducation citoyenne, la responsabilité citoyenne, le respect de la diversité, le dialogue et la délibération, la responsabilisation des dirigeants.","citoyenneté, droits, participation, responsabilité"
Engagement,"Qu'est-ce que l'engagement citoyen ?","L'engagement citoyen inclut les actions pour améliorer la communauté: bénévolat, service communautaire, participation aux groupes de quartier, prise de responsabilité pour améliorer la qualité de vie dans son environnement.","engagement, bénévolat, communauté, actions"
Éducation,"Pourquoi l'éducation citoyenne est importante ?","L'éducation citoyenne est essentielle car elle donne aux citoyens les connaissances, les compétences et les valeurs nécessaires pour participer efficacement à la vie politique et civique, notamment à l'ère numérique.","éducation citoyenne, formation, compétences"
Responsabilité,"Quelles responsabilités ont les citoyens ?","Les citoyens ont des responsabilités: respecter les lois, voter, payer des impôts, respecter les droits des autres, être tolérants, protéger l'environnement, participer à la vie communautaire.","responsabilités, devoirs, citoyens"
Diversité,"Comment CitizenLab aborde la diversité ?","CitizenLab promeut le respect des différences culturelles, religieuses et ethniques, ainsi que l'inclusion et l'égalité. La diversité est reconnue comme une richesse de la société guinéenne.","diversité, inclusion, égalité, respect"
Dialogue,"Pourquoi le dialogue est important ?","Le dialogue et la délibération sont essentiels car ils permettent aux citoyens de discuter de questions importantes, partager des opinions et trouver des solutions ensemble de manière constructive.","dialogue, délibération, discussion, solutions"
Gouvernance,"Qu'est-ce que la responsabilisation ?","La responsabilisation implique que les gouvernements et dirigeants soient responsables de leurs actions, rendent des comptes à la population et respectent les droits des citoyens.","responsabilisation, redevabilité, gouvernants"
Économie,"C'est quoi la participation économique ?","La participation à la vie économique implique la participation à l'économie, la compréhension de son fonctionnement et de ses impacts, ainsi que la promotion de l'équité économique.","économie, participation économique, équité"
Impact,"Quel est l'impact de CitizenLab Guinée ?","L'impact inclut: 150+ jeunes outillés, 50 offres de formations, 130+ contenus de valeur produits, plus de 10 millions de nouvelles consciences citoyennes touchées, accès à l'innovation numérique facilité.","impact, résultats, chiffres, réalisations"
Impact,"Combien de personnes touchées ?","CitizenLab Guinée vise à toucher plus de 10 millions de nouvelles consciences citoyennes à travers ses contenus, formations et campagnes de sensibilisation.","10 millions, portée, audience"
Financement,"Qui finance CitizenLab Guinée ?","Le projet est financé par EU International Partnerships (Union Européenne) et soutenu par la Youth Democracy Cohort (YDC).","financement, EU, Union Européenne, YDC"
Partenaires,"Qui sont les partenaires ?","Les partenaires principaux sont: AfricTivistes (porteur du projet), EU International Partnerships (financement), Youth Democracy Cohort (soutien), Villageois 2.0 (hébergement à Labé).","partenaires, AfricTivistes, EU, YDC, Villageois"
Partenaires,"Qu'est-ce que la Youth Democracy Cohort ?","La Youth Democracy Cohort (YDC) est un partenariat qui soutient AfricTivistes pour disséminer, plaider et monitorer le Menu des Engagements Possibles pour renforcer les valeurs démocratiques auprès des jeunes.","YDC, Youth Democracy Cohort, soutien"
Menu Engagements,"C'est quoi le Menu des Engagements ?","Le Menu des Engagements Possibles est un instrument continental pour consolider la démocratie. CitizenLab forme les jeunes sur son contenu et mène des campagnes de plaidoyer pour son adoption et sa domestication en Guinée.","Menu Engagements, instrument, plaidoyer"
CADEG,"Qu'est-ce que la CADEG ?","La CADEG (Charte Africaine de la Démocratie, des Élections et de la Gouvernance) est un instrument continental que CitizenLab promeut à travers des campagnes de plaidoyer pour renforcer les institutions publiques guinéennes.","CADEG, charte africaine, démocratie"
Contenus,"Où trouver les contenus de CitizenLab ?","Les contenus sont disponibles sur le site web citizenlabguinee.org dans les sections: Blog, Actualités, Podcasts, Vidéos, Formations, Campagnes.","contenus, site web, blog, podcasts"
Blog,"Qu'est-ce que la section Blog ?","La section Blog contient des articles d'analyse, de réflexion et d'opinion sur les enjeux de démocratie, participation citoyenne, innovation numérique et gouvernance en Guinée.","blog, articles, analyses"
Podcasts,"CitizenLab produit des podcasts ?","Oui, CitizenLab produit des podcasts pour sensibiliser sur la participation citoyenne, l'innovation numérique et les enjeux démocratiques en Guinée.","podcasts, production, médias"
Vidéos,"Quels types de vidéos CitizenLab produit ?","CitizenLab produit des vidéos de sensibilisation, des reportages, des capsules éducatives et du contenu visuel pour engager les jeunes guinéens.","vidéos, production, sensibilisation"
Campagnes,"Quelles campagnes CitizenLab mène ?","CitizenLab déploie des campagnes de sensibilisation en ligne pour promouvoir la participation citoyenne, le plaidoyer auprès du gouvernement, et des campagnes thématiques (innovation numérique, droits, démocratie).","campagnes, sensibilisation, plaidoyer"
Réseau,"Quel réseau CitizenLab veut créer ?","CitizenLab vise à créer un réseau d'acteurs engagés dans la défense de la démocratie participative, composé de jeunes, de membres de la société civile, de professionnels des médias et d'innovateurs guinéens.","réseau, acteurs engagés, communauté"
Intelligence Collective,"Qu'est-ce que l'intelligence collective pour CitizenLab ?","CitizenLab se fonde sur l'intelligence collective pour créer une communauté de jeunes qui partagent des idéologies et valeurs profondes pour construire une Guinée où la démocratie participative et la gouvernance ouverte sont des réalités.","intelligence collective, communauté, valeurs"
Outils,"Quels outils CitizenLab développe ?","CitizenLab développe des outils innovants pour la participation citoyenne et l'innovation numérique: plateforme web, contenus multimédias, supports de formation, campagnes digitales, solutions technologiques.","outils, innovation, développement"
Vision Guinée,"Quelle vision pour la Guinée ?","La vision de CitizenLab est une Guinée où la démocratie participative et la gouvernance ouverte sont des réalités, avec des citoyens informés, engagés, ayant accès à l'innovation numérique et participant activement aux décisions publiques.","vision, Guinée, démocratie, gouvernance"
Démocratie,"Qu'est-ce que la démocratie participative ?","Pour CitizenLab, la démocratie participative implique que les citoyens ne se contentent pas de voter, mais participent activement à l'élaboration des politiques publiques, aux débats, et aux décisions qui affectent leur vie.","démocratie participative, participation, politiques"
État de Droit,"Pourquoi l'État de droit est important ?","L'État de droit est fondamental car il garantit que tous (citoyens et dirigeants) sont soumis aux mêmes lois, protège les droits et libertés, et assure la justice et l'égalité pour tous en Guinée.","État de droit, lois, justice, égalité"
Institutions,"Quel rôle pour les institutions ?","CitizenLab plaide pour des institutions publiques fortes, transparentes et redevables qui respectent les droits des citoyens et permettent leur participation effective aux processus démocratiques en Guinée.","institutions, transparence, redevabilité"
Consolidation,"Comment consolider la démocratie ?","La consolidation passe par: l'éducation citoyenne, la participation active, le plaidoyer pour de bonnes lois (CADEG, Menu Engagements), la responsabilisation des dirigeants, l'utilisation des technologies civiques, l'accès à l'innovation numérique.","consolidation, démocratie, éducation, plaidoyer"
Afrique,"CitizenLab a une dimension africaine ?","Oui, CitizenLab s'inscrit dans le réseau panafricain AfricTivistes et promeut des instruments continentaux (CADEG, Charte africaine de la jeunesse) tout en abordant les enjeux spécifiques à la Guinée.","Afrique, panafricain, continental, réseau"
Décentralisation,"Pourquoi la décentralisation est importante ?","La décentralisation de l'innovation numérique et de la participation citoyenne vers des villes comme Labé permet d'atteindre les jeunes en région qui n'ont pas accès aux opportunités concentrées à Conakry.","décentralisation, régions, accès, équité"
Régions,"Comment atteindre les régions ?","CitizenLab s'implante dans les régions (Labé actuellement, d'autres villes à venir) pour rapprocher l'innovation numérique et la formation des jeunes là où ils se trouvent, sans nécessiter de migration vers la capitale.","régions, implantation, proximité, accès"
Inclusion,"Qu'est-ce que l'inclusion numérique ?","L'inclusion numérique signifie que tous les jeunes guinéens, quelle que soit leur localisation ou leur situation, ont accès à la formation numérique, aux données, à Internet et aux opportunités d'innovation.","inclusion numérique, accès, équité, opportunités"
Exclusion,"Quel est le problème de l'exclusion numérique ?","L'exclusion numérique prive de nombreux jeunes guinéens de formation, d'accès aux données, de soutien à l'innovation et d'opportunités économiques. CitizenLab travaille à réduire cette fracture numérique.","exclusion numérique, fracture, problème, inégalités"
Formation Numérique,"Pourquoi la formation numérique est cruciale ?","La formation numérique permet aux jeunes d'acquérir les compétences nécessaires pour participer à l'économie numérique, innover, créer des solutions et s'engager de manière efficace dans la vie citoyenne moderne.","formation numérique, compétences, économie, innovation"
Accès Données,"Pourquoi l'accès aux données est important ?","L'accès aux données et à Internet est essentiel pour: s'informer, apprendre, innover, participer aux débats publics, accéder aux services numériques, développer des projets. Sans cet accès, les jeunes sont exclus.","accès données, Internet, information, opportunités"
Soutien Innovation,"Quel soutien à l'innovation ?","CitizenLab offre un soutien à l'innovation en: formant aux compétences numériques, créant des espaces d'innovation (Labé), accompagnant les projets, facilitant l'accès aux ressources, créant un réseau d'innovateurs.","soutien, innovation, accompagnement, ressources"
Opportunités,"Quelles opportunités CitizenLab crée ?","CitizenLab crée des opportunités de: formation gratuite, accès à l'innovation numérique, développement de compétences, engagement citoyen, création de projets, participation aux débats publics, construction de réseau professionnel.","opportunités, formation, développement, engagement"
Jeunesse,"Pourquoi cibler les jeunes ?","Les jeunes sont au cœur du projet car ils représentent l'avenir de la démocratie et de l'innovation en Guinée. Leur donner accès aux outils numériques et à la formation citoyenne est investir dans l'avenir du pays.","jeunesse, jeunes, avenir, investissement"
Mobilisation,"Comment mobiliser les jeunes ?","La mobilisation passe par: offrir des formations pertinentes, faciliter l'accès à l'innovation, créer des espaces d'expression, valoriser leur participation, produire des contenus engageants, créer une communauté dynamique.","mobilisation, jeunes, engagement, communauté"
Université,"Quel lien avec les universités ?","Le lancement à Labé a rassemblé des responsables universitaires et étudiants, montrant l'importance de collaborer avec les institutions académiques pour former les jeunes à la participation citoyenne et à l'innovation.","université, étudiants, collaboration, formation"
Élèves,"CitizenLab travaille avec les élèves ?","Oui, des élèves ont participé au lancement à Labé. CitizenLab vise à sensibiliser et former les jeunes dès le niveau secondaire à la citoyenneté et aux compétences numériques.","élèves, jeunes, sensibilisation, formation"
Société Civile,"Quel rôle pour la société civile ?","La société civile guinéenne est un partenaire essentiel. Des représentants d'organisations locales ont participé au lancement. CitizenLab travaille avec elles pour renforcer la participation citoyenne et la démocratie.","société civile, partenariat, organisations, collaboration"
Conakry,"CitizenLab est présent à Conakry ?","Bien que basé à Labé, CitizenLab a des contacts à Conakry (coordonnées disponibles) et prévoit d'étendre sa présence à la capitale pour toucher plus de jeunes guinéens.","Conakry, présence, extension, capitale"
Conscience Citoyenne,"Comment créer une conscience citoyenne ?","CitizenLab crée la conscience citoyenne via: production de contenus de valeur, formations, campagnes de sensibilisation, débats publics, témoignages inspirants, analyses des enjeux démocratiques.","conscience citoyenne, sensibilisation, contenus"
Contenus de Valeur,"Qu'est-ce qu'un contenu de valeur ?","Un contenu de valeur est une production (article, vidéo, podcast) qui informe de manière vérifiée, éduque, sensibilise, inspire l'action citoyenne et contribue au débat démocratique de qualité en Guinée.","contenus valeur, qualité, information, éducation"
Information,"Pourquoi l'accès à l'information est crucial ?","L'accès à l'information est crucial car il permet aux citoyens de: prendre des décisions éclairées, participer aux débats publics, contrôler l'action des gouvernants, exercer leurs droits démocratiques de manière effective.","information, accès, participation, droits"
Production,"Pourquoi produire des contenus ?","Produire des contenus permet de: informer les citoyens de manière vérifiée, éduquer à la participation, sensibiliser aux enjeux démocratiques, créer des références fiables, enrichir le débat public en Guinée.","production, contenus, information, éducation"
Plaidoyer,"Comment faire du plaidoyer ?","CitizenLab fait du plaidoyer en: produisant des analyses, menant des campagnes en ligne, dialoguant avec les autorités, mobilisant les citoyens, promouvant l'adoption d'instruments démocratiques (CADEG, Menu Engagements).","plaidoyer, campagnes, mobilisation, dialogue"
Bien Gouverné,"Qu'est-ce qu'un pays bien gouverné ?","Un pays bien gouverné est un pays où: les institutions sont fortes et transparentes, les dirigeants rendent compte, les droits sont respectés, les citoyens participent aux décisions, l'État de droit prévaut.","bonne gouvernance, transparence, participation, droits"
Changement,"Comment créer le changement ?","Le changement est créé par: l'engagement citoyen actif, l'utilisation des technologies civiques, la formation et le renforcement des capacités, la mobilisation collective, le plaidoyer pour de bonnes politiques, l'innovation sociale.","changement, engagement, mobilisation, innovation"
