Catégorie,Question,Réponse,Mots-clés
État de Droit,"Pourquoi l'État de droit est important ?","L'État de droit est fondamental car il garantit que tous (citoyens et dirigeants) sont soumis aux mêmes lois, protège les droits et libertés, et assure la justice et l'égalité pour tous.","État de droit, lois, justice, égalité"
Institutions,"Quel rôle pour les institutions ?","CitizenLab plaide pour des institutions publiques fortes, transparentes et redevables qui respectent les droits des citoyens et permettent leur participation effective aux processus démocratiques.","institutions, transparence, redevabilité"
Consolidation,"Comment consolider la démocratie ?","La consolidation passe par: l'éducation citoyenne, la participation active, le plaidoyer pour de bonnes lois (CADEG, Menu Engagements), la responsabilisation des dirigeants, l'utilisation des technologies civiques, la lutte contre la désinformation.","consolidation, démocratie, éducation, plaidoyer"
Afrique,"CitizenLab a une dimension africaine ?","Oui, CitizenLab s'inscrit dans le réseau panafricain AfricTivistes et promeut des instruments continentaux (CADEG, Charte africaine de la jeunesse) tout en abordant des enjeux africains (inclusion numérique, mobilisations, IA).","Afrique, panafricain, continental, réseau"
Innovation Sociale,"Qu'est-ce que l'innovation sociale pour CitizenLab ?","L'innovation sociale consiste à utiliser la technologie et les approches créatives pour résoudre les problèmes sociaux et politiques, améliorer la vie des citoyens et renforcer la démocratie au Cameroun.","innovation sociale, technologie, solutions"
Spectateurs,"Pourquoi les jeunes ne doivent pas rester spectateurs ?","Le message de CitizenLab est clair: 'Aucun jeune ne doit rester spectateur. Chaque voix compte, chaque action transforme'. Être acteur de changement permet de construire le Cameroun souhaité plutôt que de subir les décisions d'autrui.","spectateurs, acteurs, changement, jeunesse"
Transformation,"Comment transformer le Cameroun ?","La transformation passe par: l'engagement citoyen actif, l'utilisation des technologies, la formation et le renforcement des capacités, la mobilisation collective, le plaidoyer pour de bonnes politiques, la responsabilisation des dirigeants.","transformation, engagement, mobilisation, plaidoyer"
Désinformation,"Comment combattre la désinformation ?","CitizenLab combat la désinformation via: éducation aux médias, formations au fact-checking, production de contenus vérifiés, sensibilisation aux mécanismes de manipulation, promotion de l'esprit critique.","désinformation, fact-checking, éducation médias"
Réseaux Sociaux,"Quel est le rôle des réseaux sociaux ?","Les réseaux sociaux sont des outils puissants pour la mobilisation et l'information, mais aussi des vecteurs de désinformation. CitizenLab promeut leur usage responsable et critique pour l'engagement citoyen.","réseaux sociaux, mobilisation, désinformation"
Technologies,"Quelles technologies CitizenLab utilise ?","CitizenLab utilise: plateformes web, réseaux sociaux, production multimédia (vidéo, audio), outils de fact-checking, chatbots, systèmes de mobilisation en ligne, plateformes d'apprentissage.","technologies, outils, plateformes, numérique"
Hubs,"Qu'est-ce qu'un hub citoyen ?","Un hub citoyen est un espace (physique ou virtuel) où les jeunes se réunissent pour apprendre, innover, coder, créer et développer des solutions aux défis de leur communauté en utilisant la technologie.","hub, espace, innovation, jeunes"
Conscience,"Comment créer une conscience citoyenne ?","CitizenLab crée la conscience citoyenne via: production de contenus éducatifs, campagnes de sensibilisation, formations, témoignages inspirants, analyses des enjeux démocratiques, mobilisation sur les réseaux sociaux.","conscience citoyenne, sensibilisation, éducation"
