Catégorie,Question,Réponse,Mots-clés
Paix Sociale,"Comment préserver la paix sociale ?","La paix sociale est préservée par: l'usage responsable d'Internet et des réseaux sociaux, le respect de la dignité humaine, le dialogue constructif, le respect de l'État de droit, la lutte contre la désinformation.","paix sociale, préservation, dialogue, respect"
Dignité,"Pourquoi la dignité humaine est importante ?","La dignité humaine est un principe fondamental que CitizenLab défend. Elle implique le respect de chaque personne, la protection contre les abus (y compris le droit à l'image), et la promotion de l'égalité pour tous.","dignité humaine, respect, protection, égalité"
Esprit Critique,"Pourquoi développer l'esprit critique ?","Face aux algorithmes, à la désinformation et aux manipulations, développer l'esprit critique est essentiel pour que les citoyens, notamment les jeunes, puissent analyser l'information, faire des choix éclairés et participer de manière constructive.","esprit critique, analyse, jeunes, formation"
Justice,"Quel rôle pour la justice ?","La justice est essentielle pour garantir l'égalité, protéger les droits, sanctionner les injustices et maintenir l'État de droit. CitizenLab encourage les citoyens à utiliser les mécanismes légaux pour défendre leurs droits.","justice, égalité, droits, mécanismes légaux"
Liberté,"Qu'est-ce que la liberté d'expression ?","La liberté de pensée et d'expression est un droit fondamental que CitizenLab défend. Elle permet aux citoyens de s'exprimer, de critiquer, de débattre, tout en respectant la dignité d'autrui et les lois en vigueur.","liberté expression, droit, débat, respect"
Égalité,"Comment promouvoir l'égalité ?","L'égalité est promue par: le respect des lois qui s'appliquent à tous, la lutte contre les discriminations, la promotion de l'inclusion, l'accès équitable à l'information et aux opportunités, la participation de tous aux processus décisionnels.","égalité, inclusion, lois, participation"
Cohésion,"Comment renforcer la cohésion nationale ?","La cohésion nationale est renforcée par: le respect de la diversité culturelle, religieuse et ethnique, le dialogue entre communautés, la promotion de valeurs communes (justice, liberté, solidarité), la Constitution comme socle commun.","cohésion nationale, diversité, dialogue, valeurs"
Information,"Pourquoi l'accès à l'information est crucial ?","L'accès à l'information est crucial car il permet aux citoyens de: prendre des décisions éclairées, participer aux débats publics, contrôler l'action des gouvernants, exercer leurs droits démocratiques de manière effective.","information, accès, participation, droits"
Production,"Pourquoi produire des contenus de valeur ?","Produire des contenus de valeur permet de: contrer la désinformation, éduquer les citoyens, impulser une prise de conscience, créer des références vérifiées, enrichir le débat public au Tchad.","production, contenus, valeur, vérification"
```
