competences,personne,Quelles sont les compétences de Thierno Bocar Dieng ?,Data science intelligence artificielle NLP automatisation et innovation.,PDF équipe
role,personne,Quel est le rôle de Thierno Bocar Dieng ?,Concevoir et développer des solutions IA à impact citoyen.,Présentation équipe
profil,personne,Qui est Paule Marcelle Elanga ?,Paule Marcelle Elanga est data scientist spécialisée en IA et machine learning.,PDF équipe
competences,personne,Quelles sont les compétences de Paule Marcelle Elanga ?,Machine learning NLP computer vision analyse de données et formation.,PDF équipe
engagement,personne,Quel est son engagement ?,Promouvoir l’égalité des chances dans les métiers de l’IA.,Présentation équipe
profil,personne,Qui est Mouhamadou Mballo ?,Mouhamadou Mballo est architecte logiciel et développeur full-stack.,PDF équipe
competences,personne,Quelles sont ses compétences ?,Architecture logicielle systèmes distribués gouvernance des données.,PDF équipe
philosophie,personne,Quelle est sa philosophie ?,Construire des plateformes durables centrées sur l’utilisateur.,Présentation équipe
profil,personne,Qui est Ndèye Kany Cissé ?,Ndèye Kany Cissé est développeuse web mobile et designer graphique.,PDF équipe
competences,personne,Quelles sont ses compétences ?,Développement front-end mobile UX UI design SEO.,PDF équipe
role,personne,Quel est son rôle dans CitizenLab ?,Concevoir des interfaces accessibles et performantes.,Présentation équipe
profil,personne,Qui est Khadidiatou Thioune ?,Khadidiatou Thioune est spécialiste en communication et gestion d’événements.,PDF équipe
competences,personne,Quelles sont ses compétences ?,Communication digitale marketing événementiel relations publiques.,PDF équipe
role,personne,Quel est son rôle ?,Assurer la visibilité et la mobilisation communautaire.,Présentation équipe
profil,personne,Qui est Mamadou Diop ?,Mamadou Diop est référent digital et créateur de contenus.,PDF équipe
competences,personne,Quelles sont ses compétences ?,Stratégie digitale design graphique production multimédia.,PDF équipe
role,personne,Quel est son rôle ?,Amplifier l’impact des actions CitizenLab.,Présentation équipe
profil,personne,Qui est Fatou Dieng ?,Fatou Dieng est data analyst et data scientist.,PDF équipe
competences,personne,Quelles sont ses compétences ?,Analyse de données visualisation data machine learning.,PDF équipe
vision,personne,Quelle est sa vision ?,Utiliser la donnée pour un développement inclusif.,Présentation équipe
profil,personne,Qui est Awa Diouf ?,Awa Diouf est étudiante en robotique passionnée d’IA et IoT.,PDF équipe
competences,personne,Quelles sont ses compétences ?,Robotique systèmes embarqués IoT développement web.,PDF équipe
role,personne,Quel est son rôle ?,Contribution aux projets techniques et formations.,Présentation équipe
collaboration,equipe,Comment l’équipe travaille-t-elle ensemble ?,Par la collaboration interdisciplinaire et le co-design.,Document stratégique
ethique,equipe,Quelles valeurs guident l’équipe ?,Éthique inclusion transparence collaboration.,Document institutionnel
credibilite,equipe,Pourquoi l’équipe est-elle crédible institutionnellement ?,Grâce à son expertise ses partenariats et son ancrage local.,Présentation officielle
formation,equipe,L’équipe peut-elle former d’autres organisations ?,Oui elle dispose d’une forte capacité de formation.,FAQ officielle
international,equipe,L’équipe peut-elle intervenir à l’international ?,Oui selon les projets et partenariats.,Document institutionnel
chatbot,architecture,Quel type de chatbot utilise CitizenLab Sénégal ?,Un chatbot informationnel et conversationnel basé sur une base de connaissances institutionnelle.,Conception chatbot
chatbot,architecture,Le chatbot est-il basé sur l’IA ?,Oui il utilise des techniques d’IA conversationnelle et de NLP.,Conception chatbot
chatbot,architecture,Le chatbot utilise-t-il une approche RAG ?,Oui Retrieval-Augmented Generation pour garantir des réponses fiables.,Architecture technique
chatbot,architecture,Pourquoi utiliser le RAG ?,Pour éviter les hallucinations et s’appuyer uniquement sur des sources validées.,Architecture technique
chatbot,donnees,Quelles sources alimentent le chatbot ?,FAQ documents PDF présentations rapports et contenus institutionnels.,Corpus documentaire
chatbot,donnees,Les réponses sont-elles vérifiées ?,Oui les données proviennent uniquement de documents validés.,Gouvernance des données
chatbot,donnees,Le chatbot apprend-il seul ?,Non les mises à jour sont contrôlées par l’équipe.,Politique IA
chatbot,fonctionnement,Le chatbot est-il disponible 24h/24 ?,Oui en continu.,FAQ chatbot
chatbot,fonctionnement,Le chatbot remplace-t-il un humain ?,Non il assiste et oriente vers l’équipe si nécessaire.,FAQ chatbot
chatbot,fonctionnement,Que fait le chatbot en cas de question complexe ?,Il redirige vers un contact humain.,Conception chatbot
chatbot,langues,Quelles langues sont supportées ?,Français en priorité puis anglais et langues locales.,Roadmap IA
chatbot,langues,Pourquoi intégrer les langues locales ?,Pour renforcer l’accessibilité et l’inclusion.,Stratégie inclusion
chatbot,usages,À qui s’adresse le chatbot ?,Citoyens partenaires chercheurs bénéficiaires et institutions.,Cahier des charges
chatbot,usages,Quels sont les principaux usages ?,Information orientation inscription et sensibilisation.,Cahier des charges
chatbot,usages,Le chatbot aide-t-il à s’inscrire aux programmes ?,Oui il explique les étapes et critères.,FAQ officielle
chatbot,usages,Le chatbot peut-il présenter CitizenLab ?,Oui de manière institutionnelle et standardisée.,Base de connaissances
chatbot,usages,Le chatbot peut-il expliquer les formations ?,Oui types durées objectifs et publics.,Plan d’activités
chatbot,usages,Le chatbot répond-il aux partenaires ?,Oui avec un discours institutionnel adapté.,Base RAG
chatbot,limites,Le chatbot donne-t-il des conseils juridiques ?,Non il fournit uniquement des informations générales.,Mention légale
chatbot,limites,Le chatbot donne-t-il des opinions politiques ?,Non il est neutre et factuel.,Charte éthique
chatbot,limites,Le chatbot prend-il des décisions ?,Non il n’a aucun pouvoir décisionnel.,Politique IA
chatbot,ethique,Le chatbot respecte-t-il l’éthique ?,Oui transparence neutralité et responsabilité.,Charte IA
chatbot,ethique,Le chatbot protège-t-il les données ?,Oui aucune donnée sensible n’est stockée sans consentement.,Politique données
chatbot,ethique,Les conversations sont-elles enregistrées ?,Uniquement à des fins d’amélioration et anonymisées.,Politique confidentialité
chatbot,securite,Comment le chatbot est-il sécurisé ?,Par des contrôles d’accès et des audits réguliers.,Architecture sécurité
chatbot,securite,Le chatbot est-il conforme à la protection des données ?,Oui selon les bonnes pratiques de protection des données.,Conformité
chatbot,maintenance,Le chatbot est-il mis à jour ?,Oui régulièrement avec de nouveaux contenus.,Gouvernance RAG
chatbot,maintenance,Qui met à jour la base ?,L’équipe technique et les responsables contenus.,Organisation interne
chatbot,maintenance,Peut-on ajouter de nouveaux documents ?,Oui facilement dans la base RAG.,Architecture technique
chatbot,scalabilite,Le chatbot est-il évolutif ?,Oui il est conçu pour évoluer.,Architecture technique
chatbot,scalabilite,Peut-il être réutilisé pour d’autres projets ?,Oui avec adaptation du corpus.,Vision technique
chatbot,performance,Comment évaluer la performance ?,Taux de réponses utiles satisfaction utilisateur.,Indicateurs IA
chatbot,performance,Le chatbot est-il testé ?,Oui avant mise en production.,Process qualité
chatbot,institutionnel,Pourquoi le chatbot est crédible ?,Parce qu’il s’appuie uniquement sur des sources officielles.,Gouvernance
chatbot,institutionnel,Le chatbot reflète-t-il la voix CitizenLab ?,Oui un ton institutionnel clair et inclusif.,Charte éditoriale
chatbot,institutionnel,Le chatbot peut-il être audité ?,Oui les sources sont traçables.,Traçabilité RAG
chatbot,institutionnel,Le chatbot respecte-t-il la neutralité ?,Oui strictement.,Charte éthique
chatbot,strategie,Quel est l’objectif stratégique du chatbot ?,Améliorer l’accès à l’information citoyenne.,Vision CitizenLab
chatbot,strategie,Le chatbot contribue-t-il à l’impact ?,Oui en renforçant l’engagement et l’accès.,Mesure impact
chatbot,strategie,Le chatbot est-il aligné à la mission ?,Oui totalement.,Mission institutionnelle
chatbot,avenir,Quelles évolutions prévues ?,Multilingue voix intégration plateformes.,Roadmap
chatbot,avenir,Le chatbot pourra-t-il intégrer la voix ?,Oui à terme.,Roadmap IA
chatbot,avenir,Peut-il être connecté aux réseaux sociaux ?,Oui selon les besoins.,Vision technique
chatbot,avenir,Peut-il servir à la recherche ?,Oui pour analyser les besoins citoyens.,Recherche appliquée
gouvernance,donnees,Comment sont gouvernées les données ?,Par des règles claires d’accès et d’usage.,Gouvernance données
gouvernance,donnees,Qui valide les contenus ?,L’équipe CitizenLab.,Organisation interne
gouvernance,donnees,Les contenus sont-ils versionnés ?,Oui pour assurer la traçabilité.,Process qualité
institutionnel,confiance,Pourquoi faire confiance au chatbot ?,Parce qu’il repose sur des documents officiels.,Crédibilité institutionnelle
institutionnel,confiance,Le chatbot est-il transparent ?,Oui sur ses limites et sources.,Charte IA
institutionnel,confiance,Le chatbot renforce-t-il la confiance citoyenne ?,Oui par l’accès clair à l’information.,Impact social
